Starting...
Gathering coverage... done in 272.996041ms
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:282:20
 NOT COVERED INVERT_NEGATIVES at adapters/ui/inventory.go:283:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:283:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:285:23
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:290:35
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:290:35
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:296:25
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:297:28
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:297:28
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:299:29
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:299:29
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:305:20
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:305:20
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:315:16
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:315:16
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:322:25
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:335:65
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:335:58
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:338:20
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:338:20
 NOT COVERED INVERT_NEGATIVES at adapters/ui/inventory.go:339:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:339:31
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:341:24
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:350:16
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:350:37
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/inventory.go:377:28
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/inventory.go:377:28
 NOT COVERED ARITHMETIC_BASE at adapters/ui/inventory.go:381:51
 NOT COVERED CONDITIONALS_BOUNDARY at adapters/ui/model.go:141:47
 NOT COVERED CONDITIONALS_NEGATION at adapters/ui/model.go:141:47
 NOT COVERED ARITHMETIC_BASE at adapters/ui/model.go:144:56
